,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
0,TNXP,Tonix Pharmaceuticals Holding Corp.,,19.85 +3.57 (+21.92%),3.57,+21.92%,1.321M,1.601M,110.965M,-,-98.55%,
1,FINV,FinVolution Group,,10.71 +1.59 (+17.47%),1.59,+17.47%,3.54M,804863,2.784B,9.32,88.04%,
2,JBSAY,JBS S.A.,,13.65 +2.00 (+17.17%),2.0,+17.17%,184584,80348,15.139B,11.77,25.85%,
3,TKAMY,thyssenkrupp AG,,11.48 +1.43 (+14.23%),1.43,+14.23%,99851,125634,7.147B,-,89.62%,
4,TME,Tencent Music Entertainment Group,,14.77 +1.71 (+13.09%),1.71,+13.09%,24.844M,7.488M,23.452B,27.87,18.30%,
5,ESLT,Elbit Systems Ltd.,,413.00 +43.74 (+11.85%),43.74,+11.85%,145911,46250,18.419B,70.84,82.87%,
6,BVHMF,Vistry Group PLC,,8.20 +0.65 (+8.61%),0.65,+8.61%,15650,21292,2.693B,8.72,-48.99%,
7,NEXT,NextDecade Corporation,,7.80 +0.55 (+7.52%),0.55,+7.52%,1.496M,1.745M,2.03B,-,31.82%,
8,IMPUY,Impala Platinum Holdings Limited,,6.61 +0.33 (+5.24%),0.33,+5.24%,245253,202241,5.959B,-,68.07%,
9,ALHC,"Alignment Healthcare, Inc.",,16.92 +0.83 (+5.16%),0.83,+5.16%,2.046M,2.048M,3.246B,-,225.71%,
10,BRRLY,Barry Callebaut AG,,13.60 +0.67 (+5.18%),0.67,+5.18%,21505,72053,7.454B,34.87,-6.28%,
11,XIACY,Xiaomi Corporation,,38.82 +1.85 (+5.00%),1.85,+5.00%,358359,690443,189.285B,36.62,232.17%,
12,XIACF,Xiaomi Corporation,,7.77 +0.36 (+4.92%),0.36,+4.92%,26511,172010,189.405B,37.00,287.17%,
13,RNMBY,Rheinmetall AG,,315.79 +14.79 (+4.91%),14.79,+4.91%,36067,96075,68.554B,129.42,187.02%,
14,RIVN,"Rivian Automotive, Inc.",,11.51 +0.49 (+4.45%),0.49,+4.45%,20.313M,31.967M,13.014B,-,-2.13%,
15,NIO,NIO Inc.,,5.26 +0.22 (+4.47%),0.22,+4.47%,63.867M,51.638M,10.676B,-,-3.08%,
16,CNX,CNX Resources Corporation,,32.03 +1.30 (+4.21%),1.3,+4.21%,1.379M,3.275M,4.767B,-,42.40%,
17,SITM,SiTime Corporation,,177.45 +6.99 (+4.10%),6.99,+4.10%,171304,306425,4.187B,-,99.25%,
18,VWDRY,Vestas Wind Systems A/S,,5.62 +0.22 (+4.07%),0.22,+4.07%,25362,476681,16.921B,31.22,-41.95%,
19,MYRG,MYR Group Inc.,,125.40 +4.90 (+4.07%),4.9,+4.07%,280040,231437,2.024B,68.53,-24.94%,
20,CDE,"Coeur Mining, Inc.",,6.68 +0.25 (+3.89%),0.25,+3.89%,13.562M,17.36M,4.266B,44.53,112.21%,
21,DB,Deutsche Bank Aktiengesellschaft,,24.84 +0.89 (+3.74%),0.89,+3.74%,3.416M,2.996M,48.296B,16.67,60.85%,
22,AU,AngloGold Ashanti plc,,34.23 +1.24 (+3.76%),1.24,+3.76%,1.751M,2.419M,17.236B,14.69,62.75%,
23,MLTX,MoonLake Immunotherapeutics,,40.09 +1.42 (+3.67%),1.42,+3.67%,214605,385927,2.537B,-,-23.56%,
24,AG,First Majestic Silver Corp.,,7.36 +0.26 (+3.74%),0.26,+3.74%,15.696M,17.895M,3.56B,-,34.79%,
25,SAN,"Banco Santander, S.A.",,7.12 +0.24 (+3.53%),0.24,+3.53%,5.313M,4.726M,107.306B,8.48,53.23%,
26,EDU,New Oriental Education & Technology Group Inc.,,52.59 +1.79 (+3.52%),1.79,+3.52%,1.029M,1.932M,8.6B,22.87,-45.09%,
27,GFI,Gold Fields Limited,,21.35 +0.70 (+3.39%),0.7,+3.39%,2.541M,2.949M,19.109B,30.07,45.12%,
28,BAYRY,Bayer Aktiengesellschaft,,6.77 +0.22 (+3.36%),0.22,+3.36%,134344,1.259M,26.604B,-,-6.44%,
29,FMCKJ,Federal Home Loan Mortgage Corporation,,11.05 +0.34 (+3.17%),0.34,+3.17%,118745,787870,7.547B,162.50,171.18%,
30,BYDDF,BYD Company Limited,,52.99 +1.64 (+3.19%),1.64,+3.19%,68841,109846,160.881B,32.91,87.25%,
31,IPGP,IPG Photonics Corporation,,65.31 +1.99 (+3.14%),1.99,+3.14%,146653,335041,2.779B,-,-27.87%,
32,NWG,NatWest Group plc,,12.26 +0.36 (+3.07%),0.36,+3.07%,3.273M,5.057M,49.324B,9.08,92.08%,
33,TIGO,Millicom International Cellular S.A.,,31.16 +0.92 (+3.04%),0.92,+3.04%,686556,511103,5.275B,21.05,57.58%,
